PM10_forecast,temp_forecast,humidity_forecast,rain_forecast,wind_forecast,hour,PM10_lower,PM10_upper,temp_lower,temp_upper,humidity_lower,humidity_upper,rain_lower,rain_upper,wind_lower,wind_upper
17.75946,17.784056,40.697,-0.0034264326,13.414005,1,10.090285,25.271807,9.913117,25.567413,35.3097,45.868576,-0.010557249,0.0049538165,9.5319,16.819538
14.666773,18.559162,42.402195,-0.004072517,12.759059,2,8.3541355,21.313019,11.522268,26.150082,36.049606,48.985027,-0.008895546,0.0011022687,7.488353,17.658215
12.763523,17.338947,44.059944,-0.0034721196,11.847198,3,6.6873918,20.259308,9.330646,25.059122,35.796154,51.805202,-0.009047359,0.0021177083,6.528906,17.004337
11.771421,17.140755,45.841393,-0.0023469478,10.540995,4,4.777604,20.484266,10.70435,23.70988,37.48094,53.692936,-0.008142814,0.0044725686,5.1634307,15.770498
11.414508,17.0559,47.954376,-0.0021510571,10.019255,5,5.3258324,17.689754,7.416663,26.519348,38.545513,56.358505,-0.0079432875,0.0029693693,4.822247,15.89375
11.627234,17.411184,49.170612,-0.0036034435,9.371868,6,4.282959,19.817833,9.644899,23.959389,36.309715,59.076244,-0.011198238,0.004014343,4.1093946,14.551603
11.426101,16.90827,50.62831,-0.0036701858,9.055395,7,4.0402966,20.987545,8.977545,24.605242,40.36387,60.185295,-0.010368243,0.0029090345,4.133808,14.842017
11.757867,18.186535,51.28119,-0.0033594817,9.030642,8,4.5501814,21.457253,10.3782015,25.632767,40.89106,60.954407,-0.008133009,0.0044956207,3.5982366,15.296431
10.845381,16.942099,51.93857,-0.0037930757,8.990612,9,3.8996763,19.46409,9.959718,24.8689,41.400818,62.62107,-0.0077418983,0.0033587962,4.0636835,14.121527
12.345271,17.388365,51.946056,-0.00039543211,9.4190855,10,4.2369337,23.283089,11.52507,24.900675,40.5932,63.99956,-0.007825375,0.0022547096,4.260973,15.241205
11.902545,16.893654,52.99494,-0.0024395287,8.879282,11,3.6396646,24.508434,9.541719,24.60265,43.525757,63.501495,-0.0075288415,0.0023685545,4.41447,14.846316
10.889654,17.639935,54.07823,-0.0026825815,8.729303,12,3.5424824,19.29971,10.275147,23.61575,43.36808,66.26921,-0.009120107,0.0038795471,3.7282205,15.575778
10.648443,16.089085,54.153,-0.003353104,9.288058,13,4.108637,19.995054,8.845597,23.616356,42.420746,65.167145,-0.010111079,0.0018957108,4.0141397,15.912355
10.487196,16.746155,54.621155,-0.0033160895,8.884973,14,4.0815544,21.377995,10.9269905,23.92021,41.973175,66.651505,-0.008858472,0.002370879,3.3995862,15.059505
11.935944,17.063501,54.678043,-0.0024458468,9.411806,15,3.6433678,23.248848,11.120754,24.860275,39.73823,66.70023,-0.008007288,0.0044318438,3.746644,16.56206
