datetime,PM10,rain,temp,humidity,wind
01/07/2025 01:00:00,"28,53",0,28.5,57,8
01/07/2025 02:00:00,"19,32",0,27.4,71,5
01/07/2025 03:00:00,"16,91",0,29,54,9
01/07/2025 04:00:00,"10,10",0,28.6,55,14
01/07/2025 05:00:00,"24,11",0,27.8,55,11
01/07/2025 06:00:00,"21,65",0,28.6,46,19
01/07/2025 07:00:00,"13,25",0,27.7,47,20
01/07/2025 08:00:00,"28,17",0,27.5,47,22
01/07/2025 09:00:00,"16,82",0,29.2,45,20
01/07/2025 10:00:00,"17,30",0,29.4,44,19
01/07/2025 11:00:00,"18,84",0,31,41,18
01/07/2025 12:00:00,"21,81",0,34.1,35,12
01/07/2025 13:00:00,"11,67",0,34.6,34,10
01/07/2025 14:00:00,"9,68",0,32.4,46,12
01/07/2025 15:00:00,"7,30",0,31.8,53,8
01/07/2025 16:00:00,"3,65",0,30.5,61,6
01/07/2025 17:00:00,"17,24",0,30.3,56,5
01/07/2025 18:00:00,"14,47",0,30,57,5
01/07/2025 19:00:00,"24,05",0,29.5,61,4
01/07/2025 20:00:00,"34,67",0,29.1,62,2
01/07/2025 21:00:00,"20,81",0,29.9,39,5
01/07/2025 22:00:00,"14,18",0,28.9,39,11
01/07/2025 23:00:00,"9,96",0,28.2,40,12
02/07/2025 00:00:00,"23,61",0,28,40,17
02/07/2025 01:00:00,"14,12",0,27.4,38,21
02/07/2025 02:00:00,"9,62",0,27.4,37,21
02/07/2025 03:00:00,"4,81",0,27.4,37,12
02/07/2025 04:00:00,"3,70",0,27.1,38,13
02/07/2025 05:00:00,"7,03",0,28.1,37,13
02/07/2025 06:00:00,"28,42",0,29.1,35,15
02/07/2025 07:00:00,"17,03",0,30.8,33,14
02/07/2025 08:00:00,"26,09",0,32.3,28,16
2025-07-02 09:00:00,"14,27",0,34.3,24,14
02/07/2025 10:00:00,"11,78",0,35.1,21,10
02/07/2025 11:00:00,"15,33",0,30.6,55,11
02/07/2025 12:00:00,"28,58",0,30.4,51,10
02/07/2025 13:00:00,"15,33",0,30.9,51,8
02/07/2025 14:00:00,"9,90",0,29.8,61,7
02/07/2025 15:00:00,"6,65",0,30,59,6
02/07/2025 16:00:00,"38,93",0,30,65,6
02/07/2025 17:00:00,"21,78",0,30.1,65,5
02/07/2025 18:00:00,"17,57",0,28.9,69,5
02/07/2025 19:00:00,"43,12",0,28.7,67,4
02/07/2025 20:00:00,"25,06",0,28.7,62,3
02/07/2025 21:00:00,"16,32",0,29,46,5
02/07/2025 22:00:00,"11,01",0,28.5,46,4
02/07/2025 23:00:00,"7,25",0,28.2,44,3
03/07/2025 00:00:00,"12,31",0,27.7,45,2
03/07/2025 01:00:00,"10,48",0,26.8,48,2
03/07/2025 02:00:00,"8,88",0,26.5,47,4
03/07/2025 03:00:00,"7,82",0,26.3,50,4
03/07/2025 04:00:00,"8,33",0,25.8,51,4
03/07/2025 05:00:00,"6,51",0,26.6,52,3
03/07/2025 06:00:00,"15,89",0,29.9,43,3
03/07/2025 07:00:00,N/D,0,28.1,56,4
03/07/2025 08:00:00,"11,35",0,28.9,60,5
03/07/2025 09:00:00,"10,09",0,28.7,56,6
03/07/2025 10:00:00,"46,13",0,31,46,5
03/07/2025 11:00:00,"24,58",0,28.9,55,6
03/07/2025 12:00:00,"22,83",0,31.4,44,5
03/07/2025 13:00:00,"20,33",0,30.7,52,6
03/07/2025 14:00:00,"24,05",0,30.3,62,6
03/07/2025 15:00:00,"18,11",0,30.6,66,7
03/07/2025 16:00:00,"55,47",0,30.1,66,6
03/07/2025 17:00:00,"27,73",0,30.8,63,5
03/07/2025 18:00:00,"24,51",0,30.9,57,4
03/07/2025 19:00:00,"31,64",0,29.6,61,3
